Phrase_ID	YUA	ES	Communicative_Context
YUAES0000001	Táan in bin koonol tu k'íiwikil koonol	Estoy yendo a vender al mercado	COMMC0001
YUAES0000002	Táan a bin koonol tu k'íiwikil koonol	Estas yendo a vender al mercado	COMMC0001
YUAES0000003	Táan u bin koonol tu k'íiwikil koonol	Está yendo a vender al mercado	COMMC0001
YUAES0000004	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Ellos están yendo a vender al mercado	COMMC0001
YUAES0000005	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Ellas están yendo a vender al mercado	COMMC0001
YUAES0000006	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	Ustedes están yendo a vender al mercado	COMMC0001
YUAES0000007	Táan k bin koonol tu k'íiwikil koonol	Nosotros estamos yendo a vender al mercado	COMMC0001
YUAES0000008	Yaan wáaj in bin koonol tu k'íiwikil koonol	¿Iré a vender al mercado?	COMMC0001
YUAES0000009	Yaan wáaj a bin koonol tu k'íiwikil koonol	¿Irás a vender al mercado?	COMMC0001
YUAES0000010	Yaan wáaj u bin koonol tu k'íiwikil koonol	¿El irá a vender al mercado?	COMMC0001
YUAES0000011	Yaan wáaj u bin koonol tu k'íiwikil koonol	¿Ella irá a vender al mercado?	COMMC0001
YUAES0000012	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	¿Ellos irán a vender al mercado?	COMMC0001
YUAES0000013	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	¿Ellas irán a vender al mercado?	COMMC0001
YUAES0000014	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	¿Ustedes irán a vender al mercado?	COMMC0001
YUAES0000015	Yaan wáaj k bin koonol tu k'íiwikil koonol	¿Iremos a vender al mercado?	COMMC0001
YUAES0000016	Yaan in bin wáaj koonol tu k'íiwikil koonol	¿Iré a vender al mercado?	COMMC0001
YUAES0000017	Yaan a bin wáaj koonol tu k'íiwikil koonol	¿Irás a vender al mercado?	COMMC0001
YUAES0000018	Yaan wáaj u bin koonol tu k'íiwikil koonol	¿Él irá a vender al mercado?	COMMC0001
YUAES0000019	Yaan u bino'ob wáaj koonol tu k'íiwikil koonol	¿Ellos irán a vender al mercado?	COMMC0001
YUAES0000020	Yaan u bino'ob wáaj koonol tu k'íiwikil koonol	¿Ellas irán a vender al mercado?	COMMC0001
YUAES0000021	Yaan a bine'ex wáaj koonol tu k'íiwikil koonol	¿Ustedes irán a vender al mercado?	COMMC0001
YUAES0000022	Yaan k bin wáaj koonol tu k'íiwikil koonol	¿Iremos a vender al mercado?	COMMC0001
YUAES0000023	Yaan in bin koonol tu k'íiwikil koonol wáaj	¿Iré a vender al mercado?	COMMC0001
YUAES0000024	Yaan a bin koonol tu k'íiwikil koonol wáaj	¿irás a vender al mercado?	COMMC0001
YUAES0000025	Yaan u bin koonol tu k'íiwikil koonol wáaj	¿Él irá a vender al mercado?	COMMC0001
YUAES0000026	Yaan u bin koonol tu k'íiwikil koonol wáaj	¿Ella irá a vender al mercado?	COMMC0001
YUAES0000027	Yaan u bino'ob koonol tu k'íiwikil koonol wáaj	¿Ellos irán a vender al mercado?	COMMC0001
YUAES0000028	Yaan u bino'ob koonol tu k'íiwikil koonol wáaj	¿Ellas irán a vender al mercado?	COMMC0001
YUAES0000029	Yaan a bine'ex koonol tu k'íiwikil koonol wáaj	¿Ustedes irán a vender al mercado?	COMMC0001
YUAES0000030	Yaan k bin koonol tu k'íiwikil koonol wáaj	¿Iremos a vender al mercado?	COMMC0001
YUAES0000031	Máax ku bin koonol tu k'íiwikil koonol	¿Quién va a vender al mercado?	COMMC0001
YUAES0000032	Máax ku binsikech koonol tu k'íiwikil koonol	¿Quién te lleva a vender al mercado?	COMMC0001
YUAES0000033	Máax ku binsiko'on koonol tu k'íiwikil koonol	¿Quién nos lleva a vender al mercado?	COMMC0001
YUAES0000034	Máax ku binsike'ex koonol tu k'íiwikil koonol	¿Quién les lleva a vender al mercado?	COMMC0001
YUAES0000035	Tu'ux k'íiwikil koonol ka bin koonol	¿En cuál mercado vendes?	COMMC0001
YUAES0000036	Máakalmáak k'íiwikil koonol jach jats'uts	¿Cuál mercado es el más bonito?	COMMC0001
YUAES0000037	Máakalmáak k'íiwikil koonol jach nojoch	¿Cuál mercado es el más grande?	COMMC0001
YUAES0000038	Máakalmáak k'íiwikil koonol jach chichan	¿Cuál mercado es el más chico?	COMMC0001
YUAES0000039	Ma' táan in bin koonol tu k'íiwikil koonoli'	No estoy yendo a vender al mercado	COMMC0001
YUAES0000040	Ma' táan a bin koonol tu k'íiwikil koonoli'	No estás yendo a vender al mercado	COMMC0001
YUAES0000041	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	Él no está yendo a vender al mercado	COMMC0001
